result_file,num_samples,fps,window_size,stride,aggregation,smoothing_window,R@1_IoU_0.3,R@1_IoU_0.5,R@1_IoU_0.7,mIoU,total_frames,avg_frames_per_sample,inference_time_sec
clip_w16_s8_max.json,2,1.0,16.0,8.0,max,,0.0,0.0,0.0,0.0625,302,151.0,11.458522083004937
clip_w16_s8_mean.json,2,1.0,16.0,8.0,mean,,0.0,0.0,0.0,0.08571428571428572,302,151.0,11.316187583957799
clip_w4_s2_max.json,2,1.0,4.0,2.0,max,,0.0,0.0,0.0,0.014705882352941176,302,151.0,11.15104629198322
clip_w4_s2_mean.json,2,1.0,4.0,2.0,mean,,0.0,0.0,0.0,0.030303030303030304,302,151.0,11.46223766595358
clip_w8_s4_max.json,2,1.0,8.0,4.0,max,,0.0,0.0,0.0,0.02857142857142857,302,151.0,11.269189000013284
clip_w8_s4_mean.json,2,1.0,8.0,4.0,mean,,0.0,0.0,0.0,0.06060606060606061,302,151.0,11.240634374960791
