config_name,window_size,stride,aggregation,evaluated_queries,unique_videos,processed_frames,R@1_IoU_0.3,R@1_IoU_0.5,R@1_IoU_0.7,mIoU,inference_time_sec,cache_hits,cache_misses,cache_size_bytes
clip_w8_s4_mean,8.0,4.0,mean,1000,363,29994,0.509,0.393,0.181,0.34777747887511207,309.6866364169982,637,363,58017484
clip_w16_s8_mean,16.0,8.0,mean,1000,363,29994,0.625,0.26,0.096,0.34969020291901676,22.592478417005623,1000,0,58017484
clip_w32_s16_mean,32.0,16.0,mean,1000,363,29994,0.395,0.014,0.0,0.2814292262260163,21.506190500003868,1000,0,58017484
clip_w16_s8_max,16.0,8.0,max,1000,363,29994,0.602,0.232,0.077,0.33861871441230174,20.922286917004385,1000,0,58017484
